species_id,name,description,url
068,machamp,"In close combat, its four arms afford it offensive and defensive supremacy. In but a blink, this valiant Pokémon can overwhelm its foes with more than 1,000 blows from its fists.",https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon)
069,bellsprout,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon)
070,weepinbell,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids.",https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon)
071,victreebel,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.",https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon)
072,tentacool,"They fire beams from the glassy, magenta orbs that resemble eyes atop their heads, and they drift in shallow seas. During low tide, they can sometimes be found on beaches, desiccated.",https://bulbapedia.bulbagarden.net/wiki/Tentacool_(Pok%C3%A9mon)
073,tentacruel,"It has 80 tentacles, each with a venomous tip. These tentacles are also extendible, lengthening when Tentacruel attempts to catch prey. Use caution.",https://bulbapedia.bulbagarden.net/wiki/Tentacruel_(Pok%C3%A9mon)
074,geodude,"Makes its home in mountainous regions, using its arms to climb along harsh mountain roads. Can be troublesome—carelessly kicking one will cause it to fly into a rage and chase after you.",https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon)
075,graveler,"Dwells in holes dug into sheer walls of stone. It enjoys rolling down slopes as though it were a boulder during a rockfall, so keep an eye upward while traversing mountain roads.",https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon)
076,golem,"The rocklike shell is shed each year. The cast-off shell then crumbles, reverting to a mass of soil, which can be spread across fields to promote crop growth.",https://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon)
077,ponyta,"These Pokémon live in herds out in the grassland. Newborn foals lack their fiery manes, which will develop about an hour after birth.",https://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon)
078,rapidash,"Fiery mane aglow, Rapidash darts like an arrow across the land. This prodigiously swift creature can traverse the vast region of Hisui in a day and a half.",https://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon)
079,slowpoke,"When this Pokémon’s tail is soaked in water, sweetness seeps from it. Slowpoke uses this trait to lure in and fish up other Pokémon.",https://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon)
080,slowbro,"Being bitten by a Shellder shocked this Pokémon into standing on two legs. If the Shellder lets go, it seems Slowbro will turn back into a Slowpoke.",https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon)
081,magnemite,"A bizarre Pokémon with but a single eye embedded in an iron sphere. I suspect this creature levitates due to the magnetism it emits from its arms, which resemble horseshoe-shaped magnets.",https://bulbapedia.bulbagarden.net/wiki/Magnemite_(Pok%C3%A9mon)
082,magneton,"Three Magnemite gathered to evolve into this Pokémon. The source of much vexation on my part, as its powerful magnetism destroys my research equipment.",https://bulbapedia.bulbagarden.net/wiki/Magneton_(Pok%C3%A9mon)
083,farfetchd,"They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed.",https://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(Pok%C3%A9mon)
084,doduo,"Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs.",https://bulbapedia.bulbagarden.net/wiki/Doduo_(Pok%C3%A9mon)
085,dodrio,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.,https://bulbapedia.bulbagarden.net/wiki/Dodrio_(Pok%C3%A9mon)
086,seel,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.,https://bulbapedia.bulbagarden.net/wiki/Seel_(Pok%C3%A9mon)
087,dewgong,"Its entire body is a snowy white. Unharmed by even intense cold, it swims powerfully in icy waters.",https://bulbapedia.bulbagarden.net/wiki/Dewgong_(Pok%C3%A9mon)
088,grimer,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.,https://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon)
089,muk,"Smells so awful, it can cause fainting. Through degeneration of its nose, it lost its sense of smell.",https://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon)
090,shellder,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.,https://bulbapedia.bulbagarden.net/wiki/Shellder_(Pok%C3%A9mon)
091,cloyster,"Once it slams its shell shut, it is impossible to open, even by those with superior strength.",https://bulbapedia.bulbagarden.net/wiki/Cloyster_(Pok%C3%A9mon)
092,gastly,Gaseous and completely impalpable. Also highly dangerous— inhaling part of its poisonous body will cause one to faint instantly.,https://bulbapedia.bulbagarden.net/wiki/Gastly_(Pok%C3%A9mon)
093,haunter,"This frightful, malevolent spirit can glide through walls, appearing wherever it likes. According to rumor, victims of a Haunter's lick will wither to death day by day.",https://bulbapedia.bulbagarden.net/wiki/Haunter_(Pok%C3%A9mon)
094,gengar,"Possesses potential victims' shadows in an effort to steal away the victims' lives. If your shadow begins to laugh, you must take hold of a protective charm posthaste!",https://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon)
095,onix,"This chain of immense stones resembles a giant serpent. Tremors shake the earth above as it burrows deep beneath the ground, feeding on boulders as it goes.",https://bulbapedia.bulbagarden.net/wiki/Onix_(Pok%C3%A9mon)
096,drowzee,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past.",https://bulbapedia.bulbagarden.net/wiki/Drowzee_(Pok%C3%A9mon)
097,hypno,Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.,https://bulbapedia.bulbagarden.net/wiki/Hypno_(Pok%C3%A9mon)
098,krabby,"If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.",https://bulbapedia.bulbagarden.net/wiki/Krabby_(Pok%C3%A9mon)
099,kingler,"Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way.",https://bulbapedia.bulbagarden.net/wiki/Kingler_(Pok%C3%A9mon)
100,voltorb,"An enigmatic Pokémon that happens to bear a resemblance to a Poké Ball. When excited, it discharges the electric current it has stored in its belly, then lets out a great, uproarious laugh.",https://bulbapedia.bulbagarden.net/wiki/Voltorb_(Pok%C3%A9mon)
101,electrode,"The tissue on the surface of its body is curiously similar in composition to an Apricorn. When irritated, this Pokémon lets loose an electric current equal to 20 lightning bolts.",https://bulbapedia.bulbagarden.net/wiki/Electrode_(Pok%C3%A9mon)
102,exeggcute,"These Pokémon get nervous when they’re not in a group of six. The minute even one member of the group goes missing, Exeggcute become cowardly.",https://bulbapedia.bulbagarden.net/wiki/Exeggcute_(Pok%C3%A9mon)
103,exeggutor,"When they work together, Exeggutor’s three heads can put out powerful psychic energy. Cloudy days make this Pokémon sluggish.",https://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon)
104,cubone,"This Pokémon wears the skull of its deceased mother. Sometimes Cubone’s dreams make it cry, but each tear Cubone sheds makes it stronger.",https://bulbapedia.bulbagarden.net/wiki/Cubone_(Pok%C3%A9mon)
105,marowak,"When this Pokémon evolved, the skull of its mother fused to it. Marowak’s temperament also turned vicious at the same time.",https://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon)
106,hitmonlee,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.,https://bulbapedia.bulbagarden.net/wiki/Hitmonlee_(Pok%C3%A9mon)
107,hitmonchan,"Its punches slice the air. However, it seems to need a short break after fighting for three minutes.",https://bulbapedia.bulbagarden.net/wiki/Hitmonchan_(Pok%C3%A9mon)
108,lickitung,"Wields its long tongue deftly, as though it were an arm. The Pokémon's viscous saliva, once it has been collected and boiled down, yields a strong and highly useful adhesive.",https://bulbapedia.bulbagarden.net/wiki/Lickitung_(Pok%C3%A9mon)
109,koffing,It adores polluted air. Some claim that Koffing used to be more plentiful in the Galar region than they are now.,https://bulbapedia.bulbagarden.net/wiki/Koffing_(Pok%C3%A9mon)
110,weezing,"It can’t suck in air quite as well as a Galarian Weezing, but the toxins it creates are more potent than those of its counterpart.",https://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon)
111,rhyhorn,"Ludicrously strong—when it butts heads with a mountain, it is the mountain that shatters. But its short legs struggle with turns, and it is incapable of stopping unless it collides with something.",https://bulbapedia.bulbagarden.net/wiki/Rhyhorn_(Pok%C3%A9mon)
112,rhydon,"Rapidly rotates its horn to bore through bedrock. It swaggers around volcanic regions, protected from the lava's heat by its tough, armorlike hide.",https://bulbapedia.bulbagarden.net/wiki/Rhydon_(Pok%C3%A9mon)
113,chansey,This purehearted Pokémon shares its eggs with the injured.,https://bulbapedia.bulbagarden.net/wiki/Chansey_(Pok%C3%A9mon)
114,tangela,"It is cloaked entirely in blue vines, preventing any glimpse of its true identity. The vines impart a refreshing sensation when chewed—they're useful as a spice.",https://bulbapedia.bulbagarden.net/wiki/Tangela_(Pok%C3%A9mon)
115,kangaskhan,There are records of a lost human child being raised by a childless Kangaskhan.,https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon)
116,horsea,They swim with dance-like motions and cause whirlpools to form. Horsea compete to see which of them can generate the biggest whirlpool.,https://bulbapedia.bulbagarden.net/wiki/Horsea_(Pok%C3%A9mon)
117,seadra,"Seadra’s mouth is slender, but its suction power is strong. In an instant, Seadra can suck in food that’s larger than the opening of its mouth.",https://bulbapedia.bulbagarden.net/wiki/Seadra_(Pok%C3%A9mon)
118,goldeen,Its dorsal and pectoral fins are strongly developed like muscles. It can swim at a speed of five knots.,https://bulbapedia.bulbagarden.net/wiki/Goldeen_(Pok%C3%A9mon)
119,seaking,"Using its horn, it bores holes in riverbed boulders, making nests to prevent its eggs from washing away.",https://bulbapedia.bulbagarden.net/wiki/Seaking_(Pok%C3%A9mon)
120,staryu,"Fish Pokémon nibble at it, but Staryu isn’t bothered. Its body regenerates quickly, even if part of it is completely torn off.",https://bulbapedia.bulbagarden.net/wiki/Staryu_(Pok%C3%A9mon)
121,starmie,"Starmie swims by spinning its body at high speed. As this Pokémon cruises through the ocean, it absorbs tiny plankton.",https://bulbapedia.bulbagarden.net/wiki/Starmie_(Pok%C3%A9mon)
122,mr-mime,The behavior of this clown-like Pokémon reminds one of pantomime. It creates invisible walls using a force emitted from its fingertips.,https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Pok%C3%A9mon)
123,scyther,"The large, wickedly sharp scythes on its forearms are truly fearsome weapons. Prey's attempts to flee are unfailingly thwarted by this Pokémon's nimble motions.",https://bulbapedia.bulbagarden.net/wiki/Scyther_(Pok%C3%A9mon)
124,jynx,The Jynx of Galar often have beautiful and delicate voices. Some of these Pokémon have even gathered a fan base.,https://bulbapedia.bulbagarden.net/wiki/Jynx_(Pok%C3%A9mon)
125,electabuzz,"Feeds on electrical energy. During sudden showers beneath looming thunderclouds, one can observe Electabuzz scaling tall trees, where the Pokémon will then wait for lightning to strike.",https://bulbapedia.bulbagarden.net/wiki/Electabuzz_(Pok%C3%A9mon)
126,magmar,"Legend has it that this Pokémon was born from the crater of a volcano. When wounded, it bathes in lava to heal its body, much as one would soak in a hot spring.",https://bulbapedia.bulbagarden.net/wiki/Magmar_(Pok%C3%A9mon)
127,pinsir,This Pokémon clamps its pincers down on its prey and then either splits the prey in half or flings it away.,https://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon)
128,tauros,"The Tauros of the Galar region are volatile in nature, and they won’t allow people to ride on their backs.",https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon)
129,magikarp,"A feeble, pitiful imbecile of a Pokémon that is nonetheless very hardy. Unperturbed by turbid water, it can be found living in all sorts of places.",https://bulbapedia.bulbagarden.net/wiki/Magikarp_(Pok%C3%A9mon)
130,gyarados,"I suspect this Pokémon to be the true identity of a dragon written of in ancient texts, which claimed that it razed an entire village with white-hot beams from its maw.",https://bulbapedia.bulbagarden.net/wiki/Gyarados_(Pok%C3%A9mon)
131,lapras,Crossing icy seas is no issue for this cold-resistant Pokémon. Its smooth skin is a little cool to the touch.,https://bulbapedia.bulbagarden.net/wiki/Lapras_(Pok%C3%A9mon)
132,ditto,"When it encounters another Ditto, it will move faster than normal to duplicate that opponent exactly.",https://bulbapedia.bulbagarden.net/wiki/Ditto_(Pok%C3%A9mon)
133,eevee,Harbors the potential to evolve into manifold forms. Within Eevee lies the key to the mysteries of Pokémon evolution—I'm certain of it.,https://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon)
134,vaporeon,"Tests show that its cells closely resemble water molecules, which perhaps explains its ability to conceal its form while submerged. I believe the origins of mermaid folklore lie with this Pokémon.",https://bulbapedia.bulbagarden.net/wiki/Vaporeon_(Pok%C3%A9mon)
135,jolteon,"Bristles its fur into sharp, needlelike points when enraged. One can hear electricity crackle in its breath when it exhales.",https://bulbapedia.bulbagarden.net/wiki/Jolteon_(Pok%C3%A9mon)
136,flareon,"Flames burn within a saclike organ inside this Pokémon. When Flareon inhales, these flames grow in intensity, reaching a mighty 3,000 degrees Fahrenheit.",https://bulbapedia.bulbagarden.net/wiki/Flareon_(Pok%C3%A9mon)
137,porygon,"It has no discernible heartbeat and does not seem to draw breath, and yet it appears to function without issue. I cannot even begin to explain this utterly bizarre anomaly.",https://bulbapedia.bulbagarden.net/wiki/Porygon_(Pok%C3%A9mon)
138,omanyte,"This Pokémon is a member of an ancient, extinct species. Omanyte paddles through water with its 10 tentacles, looking like it’s just drifting along.",https://bulbapedia.bulbagarden.net/wiki/Omanyte_(Pok%C3%A9mon)
139,omastar,"Omastar’s sharp fangs could crush rock, but the Pokémon can attack only the prey that come within reach of its tentacles.",https://bulbapedia.bulbagarden.net/wiki/Omastar_(Pok%C3%A9mon)
140,kabuto,"While some say this species has gone extinct, Kabuto sightings are apparently fairly common in some places.",https://bulbapedia.bulbagarden.net/wiki/Kabuto_(Pok%C3%A9mon)
141,kabutops,The cause behind the extinction of this species is unknown. Kabutops were aggressive Pokémon that inhabited warm seas.,https://bulbapedia.bulbagarden.net/wiki/Kabutops_(Pok%C3%A9mon)
142,aerodactyl,Aerodactyl’s sawlike fangs can shred skin to tatters—even the skin of Steel-type Pokémon.,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon)
143,snorlax,This glutton appears in villages without warning and devours the entirety of their rice granaries—such occurrences have long been counted among the gravest of disasters.,https://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon)
144,articuno,This Pokémon can control ice at will. Articuno is said to live in snowy mountains riddled with permafrost.,https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon)
145,zapdos,"Zapdos is a legendary bird Pokémon. It’s said that when Zapdos rubs its feathers together, lightning will fall immediately after.",https://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon)
146,moltres,"There are stories of this Pokémon using its radiant, flame-cloaked wings to light up paths for those lost in the mountains.",https://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon)
147,dratini,This Pokémon was long considered to be no more than a myth. The small lump on a Dratini’s forehead is actually a horn that’s still coming in.,https://bulbapedia.bulbagarden.net/wiki/Dratini_(Pok%C3%A9mon)
